SysDate-ms	Energy	P_prm_minus
08/13/2018 00:09:00 000	0	0
08/13/2018 00:10:00 000	0	0
08/13/2018 00:11:00 002	0	0
08/13/2018 00:12:00 000	0	0
08/13/2018 00:13:00 000	0	0
08/13/2018 00:14:00 001	0	0
08/13/2018 00:15:00 000	0	0
08/13/2018 00:16:00 000	0	0
08/13/2018 00:17:00 000	0	0
08/13/2018 00:18:00 000	0	0
08/13/2018 00:19:00 000	0	0
08/13/2018 00:20:00 000	0	0
08/13/2018 00:21:00 000	0	0
08/13/2018 00:22:00 000	0	0
08/13/2018 00:23:00 001	0	0
08/13/2018 00:24:00 000	0	0
08/13/2018 00:25:00 000	0	0
08/13/2018 00:26:00 000	0	0
08/13/2018 00:27:00 000	0	0
08/13/2018 00:28:00 000	0	0
08/13/2018 00:29:00 000	0	0
08/13/2018 00:30:00 000	0	0
08/13/2018 00:31:00 003	0	0
08/13/2018 00:32:00 001	0	0
08/13/2018 00:33:00 002	0	0
08/13/2018 00:34:00 000	0	0
08/13/2018 00:35:00 000	0	0
08/13/2018 00:36:00 000	0	0
08/13/2018 00:37:00 000	0	0
08/13/2018 00:38:00 000	0	0
08/13/2018 00:39:00 000	0	0
08/13/2018 00:40:00 000	0	0
08/13/2018 00:41:00 000	0	0
08/13/2018 00:42:00 000	0	0
08/13/2018 00:43:00 001	0	0
08/13/2018 00:44:00 000	0	0
08/13/2018 00:45:00 000	0	0
08/13/2018 00:46:00 000	0	0
08/13/2018 00:47:00 000	0	0
08/13/2018 00:48:00 000	0	0
08/13/2018 00:49:00 000	0	0
08/13/2018 00:50:00 001	0	0
08/13/2018 00:51:00 001	0	0
08/13/2018 00:52:00 001	0	0
08/13/2018 00:53:00 001	0	0
08/13/2018 00:54:00 001	0	0
08/13/2018 00:55:00 001	0	0
08/13/2018 00:56:00 000	0	0
08/13/2018 00:57:00 001	0	0
08/13/2018 00:58:00 001	0	0
08/13/2018 00:59:00 000	0	0
08/13/2018 00:00:00 001	0	0
08/13/2018 00:01:00 001	0	0
08/13/2018 00:02:00 001	0	0
08/13/2018 00:03:00 001	0	0
08/13/2018 00:04:00 000	0	0
08/13/2018 00:05:00 000	0	0
08/13/2018 00:06:00 000	0	0
08/13/2018 00:07:00 000	0	0
08/13/2018 00:08:00 001	0	0
08/13/2018 00:09:00 000	0	0
08/13/2018 00:10:00 000	0	0
08/13/2018 00:11:00 002	0	0
08/13/2018 00:12:00 000	0	0
08/13/2018 00:13:00 000	0	0
08/13/2018 00:14:00 001	0	0
08/13/2018 00:15:00 000	0	0
08/13/2018 00:16:00 000	0	0
08/13/2018 00:17:00 000	0	0
08/13/2018 00:18:00 000	0	0
08/13/2018 00:19:00 000	0	0
08/13/2018 00:20:00 000	0	0
08/13/2018 00:21:00 000	0	0
08/13/2018 00:22:00 000	0	0
08/13/2018 00:23:00 001	0	0
08/13/2018 00:24:00 000	0	0
08/13/2018 00:25:00 000	0	0
08/13/2018 00:26:00 000	0	0
08/13/2018 00:27:00 000	0	0
08/13/2018 00:28:00 000	0	0
08/13/2018 00:29:00 000	0	0
08/13/2018 00:30:00 000	0	0
08/13/2018 00:31:00 003	0	0
08/13/2018 00:32:00 001	0	0
08/13/2018 00:33:00 002	0	0
08/13/2018 00:34:00 000	0	0
08/13/2018 00:35:00 000	0	0
08/13/2018 00:36:00 000	0	0
08/13/2018 00:37:00 000	0	0
08/13/2018 00:38:00 000	0	0
08/13/2018 00:39:00 000	0	0
08/13/2018 00:40:00 000	0	0
08/13/2018 00:41:00 000	0	0
08/13/2018 00:42:00 000	0	0
08/13/2018 00:43:00 001	0	0
08/13/2018 00:44:00 000	0	0
08/13/2018 00:45:00 000	0	0
08/13/2018 00:46:00 000	0	0
08/13/2018 00:47:00 000	0	0
08/13/2018 00:48:00 000	0	0
08/13/2018 00:49:00 000	0	0
08/13/2018 00:50:00 001	0	0
08/13/2018 00:51:00 001	0	0
08/13/2018 00:52:00 001	0	0
08/13/2018 00:53:00 001	0	0
08/13/2018 00:54:00 001	0	0
08/13/2018 00:55:00 001	0	0
08/13/2018 00:56:00 000	0	0
08/13/2018 00:57:00 001	0	0
08/13/2018 00:58:00 001	0	0
08/13/2018 00:59:00 000	0	0
08/13/2018 01:00:00 000	0	0
08/13/2018 01:01:00 000	0	0
08/13/2018 01:02:00 000	0	0
08/13/2018 01:03:00 000	0	0
08/13/2018 01:04:00 000	0	0
08/13/2018 01:05:00 000	0	0
08/13/2018 01:06:00 001	0	0
08/13/2018 01:07:00 000	0	0
08/13/2018 01:08:00 001	0	0
08/13/2018 01:09:00 000	0	0
08/13/2018 01:10:00 000	0	0
08/13/2018 01:11:00 000	0	0
08/13/2018 01:12:00 000	0	0
08/13/2018 01:13:00 000	0	0
08/13/2018 01:14:00 000	0	0
08/13/2018 01:15:00 001	0	0
08/13/2018 01:16:00 000	0	0
08/13/2018 01:17:00 000	0	0
08/13/2018 01:18:00 000	0	0
08/13/2018 01:19:00 000	0	0
08/13/2018 01:20:00 001	0	0
08/13/2018 01:21:00 000	0	0
08/13/2018 01:22:00 000	0	0
08/13/2018 01:23:00 000	0	0
08/13/2018 01:24:00 001	0	0
08/13/2018 01:25:00 005	0	0
08/13/2018 01:26:00 000	0	0
08/13/2018 01:27:00 000	0	0
08/13/2018 01:28:00 000	0	0
08/13/2018 01:29:00 000	0	0
08/13/2018 01:30:00 000	0	0
08/13/2018 01:31:00 000	0	0
08/13/2018 01:32:00 000	0	0
08/13/2018 01:33:00 000	0	0
08/13/2018 01:34:00 000	0	0
08/13/2018 01:35:00 000	0	0
08/13/2018 01:36:00 000	0	0
08/13/2018 01:37:00 000	0	0
08/13/2018 01:38:00 001	0	0
08/13/2018 01:39:00 000	0	0
08/13/2018 01:40:00 000	0	0
08/13/2018 01:41:00 000	0	0
08/13/2018 01:42:00 001	0	0
08/13/2018 01:43:00 000	0	0
08/13/2018 01:44:00 000	0	0
08/13/2018 01:45:00 000	0	0
08/13/2018 01:46:00 000	0	0
08/13/2018 01:47:00 000	0	0
08/13/2018 01:48:00 001	0	0
08/13/2018 01:49:00 000	0	0
08/13/2018 01:50:00 001	0	0
08/13/2018 01:51:00 000	0	0
08/13/2018 01:52:00 000	0	0
08/13/2018 01:53:00 001	0	0
08/13/2018 01:54:00 000	0	0
08/13/2018 01:55:00 001	0	0
08/13/2018 01:56:00 000	0	0
08/13/2018 01:57:00 000	0	0
08/13/2018 01:58:00 000	0	0
08/13/2018 01:59:00 000	0	0
08/13/2018 02:00:00 000	0	0
08/13/2018 02:01:00 000	0	0
08/13/2018 02:02:00 000	0	0
08/13/2018 02:03:00 000	0	0
08/13/2018 02:04:00 000	0	0
08/13/2018 02:05:00 001	0	0
08/13/2018 02:06:00 001	0	0
08/13/2018 02:07:00 000	0	0
08/13/2018 02:08:00 000	0	0
08/13/2018 02:09:00 000	0	0
08/13/2018 02:10:00 000	0	0
08/13/2018 02:11:00 001	0	0
08/13/2018 02:12:00 000	0	0
08/13/2018 02:13:00 000	0	0
08/13/2018 02:14:00 001	0	0
08/13/2018 02:15:00 001	0	0
08/13/2018 02:16:00 000	0	0
08/13/2018 02:17:00 000	0	0
08/13/2018 02:18:00 005	0	0
08/13/2018 02:19:00 001	0	0
08/13/2018 02:20:00 000	0	0
08/13/2018 02:21:00 000	0	0
08/13/2018 02:22:00 000	0	0
08/13/2018 02:23:00 000	0	0
08/13/2018 02:24:00 001	0	0
08/13/2018 02:25:00 001	0	0
08/13/2018 02:26:00 000	0	0
08/13/2018 02:27:00 001	0	0
08/13/2018 02:28:00 000	0	0
08/13/2018 02:29:00 000	0	0
08/13/2018 02:30:00 000	0	0
08/13/2018 02:31:00 000	0	0
08/13/2018 02:32:00 000	0	0
08/13/2018 02:33:00 000	0	0
08/13/2018 02:34:00 000	0	0
08/13/2018 02:35:00 000	0	0
08/13/2018 02:36:00 000	0	0
08/13/2018 02:37:00 001	0	0
08/13/2018 02:38:00 000	0	0
08/13/2018 02:39:00 000	0	0
08/13/2018 02:40:00 000	0	0
08/13/2018 02:41:00 000	0	0
08/13/2018 02:42:00 000	0	0
08/13/2018 02:43:00 000	0	0
08/13/2018 02:44:00 001	0	0
08/13/2018 02:45:00 000	0	0
08/13/2018 02:46:00 000	0	0
08/13/2018 02:47:00 001	0	0
08/13/2018 02:48:00 000	0	0
08/13/2018 02:49:00 000	0	0
08/13/2018 02:50:00 000	0	0
08/13/2018 02:51:00 000	0	0
08/13/2018 02:52:00 000	0	0
08/13/2018 02:53:00 000	0	0
08/13/2018 02:54:00 001	0	0
08/13/2018 02:55:00 001	0	0
08/13/2018 02:56:00 000	0	0
08/13/2018 02:57:00 000	0	0
08/13/2018 02:58:00 000	0	0
08/13/2018 02:59:00 000	0	0
08/13/2018 03:00:00 001	0	0
08/13/2018 03:01:00 001	0	0
08/13/2018 03:02:00 000	0	0
08/13/2018 03:03:00 000	0	0
08/13/2018 03:04:00 000	0	0
08/13/2018 03:05:00 000	0	0
08/13/2018 03:06:00 000	0	0
08/13/2018 03:07:00 000	0	0
08/13/2018 03:08:00 000	0	0
08/13/2018 03:09:00 001	0	0
08/13/2018 03:10:00 002	0	0
08/13/2018 03:11:00 000	0	0
08/13/2018 03:12:00 000	0	0
08/13/2018 03:13:00 000	0	0
08/13/2018 03:14:00 000	0	0
08/13/2018 03:15:00 000	0	0
08/13/2018 03:16:00 001	0	0
08/13/2018 03:17:00 000	0	0
08/13/2018 03:18:00 002	0	0
08/13/2018 03:19:00 001	0	0
08/13/2018 03:20:00 000	0	0
08/13/2018 03:21:00 000	0	0
08/13/2018 03:22:00 003	0	0
08/13/2018 03:23:00 000	0	0
08/13/2018 03:24:00 000	0	0
08/13/2018 03:25:00 000	0	0
08/13/2018 03:26:00 001	0	0
08/13/2018 03:27:00 003	0	0
08/13/2018 03:28:00 000	0	0
08/13/2018 03:29:00 000	0	0
08/13/2018 03:30:00 000	0	0
08/13/2018 03:31:00 000	0	0
08/13/2018 03:32:00 000	0	0
08/13/2018 03:33:00 000	0	0
08/13/2018 03:34:00 000	0	0
08/13/2018 03:35:00 000	0	0
08/13/2018 03:36:00 000	0	0
08/13/2018 03:37:00 001	0	0
08/13/2018 03:38:00 000	0	0
08/13/2018 03:39:00 000	0	0
08/13/2018 03:40:00 000	0	0
08/13/2018 03:41:00 000	0	0
08/13/2018 03:42:00 000	0	0
08/13/2018 03:43:00 000	0	0
08/13/2018 03:44:00 001	0	0
08/13/2018 03:45:00 000	0	0
08/13/2018 03:46:00 000	0	0
08/13/2018 03:47:00 000	0	0
08/13/2018 03:48:00 000	0	0
08/13/2018 03:49:00 000	0	0
08/13/2018 03:50:00 000	0	0
08/13/2018 03:51:00 000	0	0
08/13/2018 03:52:00 000	0	0
08/13/2018 03:53:00 005	0	0
08/13/2018 03:54:00 000	0	0
08/13/2018 03:55:00 000	0	0
08/13/2018 03:56:00 000	0	0
08/13/2018 03:57:00 000	0	0
08/13/2018 03:58:00 000	0	0
08/13/2018 03:59:00 000	0	0
08/13/2018 04:00:00 000	0	0
08/13/2018 04:01:00 001	0	0
08/13/2018 04:02:00 000	0	0
08/13/2018 04:03:00 000	0	0
08/13/2018 04:04:00 001	0	0
08/13/2018 04:05:00 000	0	0
08/13/2018 04:06:00 000	0	0
08/13/2018 04:07:00 000	0	0
08/13/2018 04:08:00 000	0	0
08/13/2018 04:09:00 000	0	0
08/13/2018 04:10:00 000	0	0
08/13/2018 04:11:00 000	0	0
08/13/2018 04:12:00 001	0	0
08/13/2018 04:13:00 000	0	0
08/13/2018 04:14:00 001	0	0
08/13/2018 04:15:00 001	0	0
08/13/2018 04:16:00 000	0	0
08/13/2018 04:17:00 000	0	0
08/13/2018 04:18:00 000	0	0
08/13/2018 04:19:00 000	0	0
08/13/2018 04:20:00 000	0	0
08/13/2018 04:21:00 001	0	0
08/13/2018 04:22:00 000	0	0
08/13/2018 04:23:00 000	0	0
08/13/2018 04:24:00 000	0	0
08/13/2018 04:25:00 000	0	0
08/13/2018 04:26:00 001	0	0
08/13/2018 04:27:00 000	0	0
08/13/2018 04:28:00 000	0	0
08/13/2018 04:29:00 000	0	0
08/13/2018 04:30:00 000	0	0
08/13/2018 04:31:00 001	0	-0.06
08/13/2018 04:32:00 001	0	-0.14
08/13/2018 04:33:00 000	0	-0.22
08/13/2018 04:34:00 000	0	-0.3
08/13/2018 04:35:00 005	0	-0.36
08/13/2018 04:36:00 000	0	-0.44
08/13/2018 04:37:00 000	0	-0.54
08/13/2018 04:38:00 000	0	-0.6
08/13/2018 04:39:00 000	0	-0.66
08/13/2018 04:40:00 000	0	-0.7
08/13/2018 04:41:00 000	0	-0.74
08/13/2018 04:42:00 000	0	-0.82
08/13/2018 04:43:00 000	0	-0.92
08/13/2018 04:44:00 000	0	-1.02
08/13/2018 04:45:00 000	0	-1.12
08/13/2018 04:46:00 000	0	-1.2
08/13/2018 04:47:00 000	0	-1.26
08/13/2018 04:48:00 000	0	-1.3
08/13/2018 04:49:00 000	0	-1.38
08/13/2018 04:50:00 000	0	-1.42
08/13/2018 04:51:00 000	0	-1.46
08/13/2018 04:52:00 000	0	-1.5
08/13/2018 04:53:00 001	0	-1.54
08/13/2018 04:54:00 001	0	-1.62
08/13/2018 04:55:00 005	0	-1.7
08/13/2018 04:56:00 000	0	-1.8
08/13/2018 04:57:00 000	0	-1.9
08/13/2018 04:58:00 000	0	-2.08
08/13/2018 04:59:00 000	0	-2.32
08/13/2018 05:00:00 000	0	-2.52
08/13/2018 05:01:00 001	0	-2.72
08/13/2018 05:02:00 000	0	-2.94
08/13/2018 05:03:00 000	0	-3.24
08/13/2018 05:04:00 000	0	-3.62
08/13/2018 05:05:00 000	0	-3.94
08/13/2018 05:06:00 000	0	-4.12
08/13/2018 05:07:00 001	0	-4.34
08/13/2018 05:08:00 000	0	-4.52
08/13/2018 05:09:00 000	0	-4.62
08/13/2018 05:10:00 000	0	-4.62
08/13/2018 05:11:00 000	0	-4.58
08/13/2018 05:12:00 000	0	-4.46
08/13/2018 05:13:00 002	0	-4.3
08/13/2018 05:14:00 000	0	-4.12
08/13/2018 05:15:00 000	0	-3.98
08/13/2018 05:16:00 002	0	-3.94
08/13/2018 05:17:00 000	0	-3.94
08/13/2018 05:18:00 000	0	-3.98
08/13/2018 05:19:00 000	0	-4.02
08/13/2018 05:20:00 000	0	-4.04
08/13/2018 05:21:00 000	0	-4.1
08/13/2018 05:22:00 000	0	-4.1
08/13/2018 05:23:00 005	0	-4.12
08/13/2018 05:24:00 001	0	-4.1
08/13/2018 05:25:00 000	0	-4.12
08/13/2018 05:26:00 000	0	-4.14
08/13/2018 05:27:00 001	0	-4.16
08/13/2018 05:28:00 000	0	-4.16
08/13/2018 05:29:00 000	0	-4.18
08/13/2018 05:30:00 000	0	-4.2
08/13/2018 05:31:00 000	0	-4.24
08/13/2018 05:32:00 000	0	-4.24
08/13/2018 05:33:00 000	0	-4.24
08/13/2018 05:34:00 000	0	-4.26
08/13/2018 05:35:00 000	0	-4.36
08/13/2018 05:36:00 001	0	-4.44
08/13/2018 05:37:00 000	0	-4.66
08/13/2018 05:38:00 000	0	-4.8
08/13/2018 05:39:00 000	0	-5.1
08/13/2018 05:40:00 000	0	-5.46
08/13/2018 05:41:00 001	0	-5.78
08/13/2018 05:42:00 000	0	-6.04
08/13/2018 05:43:00 000	0	-6.26
08/13/2018 05:44:00 000	0	-6.4
08/13/2018 05:45:00 000	0	-6.4
08/13/2018 05:46:00 000	0	-6.46
08/13/2018 05:47:00 000	0	-6.46
08/13/2018 05:48:00 000	0	-6.54
08/13/2018 05:49:00 000	0	-6.62
08/13/2018 05:50:00 000	0	-6.78
08/13/2018 05:51:00 000	0	-6.96
08/13/2018 05:52:00 001	0	-7.26
08/13/2018 05:53:00 000	0	-7.3
08/13/2018 05:54:00 001	0	-7.4
08/13/2018 05:55:00 000	0	-7.52
08/13/2018 05:56:00 000	0	-7.66
08/13/2018 05:57:00 000	0	-7.7
08/13/2018 05:58:00 000	0	-7.74
08/13/2018 05:59:00 000	0	-7.76
08/13/2018 06:00:00 000	0	-7.82
08/13/2018 06:01:00 000	0	-7.94
08/13/2018 06:02:00 000	0	-8.2
08/13/2018 06:03:00 001	0	-8.28
08/13/2018 06:04:00 000	0	-8.38
08/13/2018 06:05:00 000	0	-8.6
08/13/2018 06:06:00 000	0	-8.94
08/13/2018 06:07:00 001	0	-10
08/13/2018 06:08:00 000	0	-10.58
08/13/2018 06:09:00 000	0	-10.94
08/13/2018 06:10:00 001	0	-11.44
08/13/2018 06:11:00 000	0	-11.72
08/13/2018 06:12:00 000	0	-11.78
08/13/2018 06:13:00 000	0	-10.48
08/13/2018 06:14:00 000	0	-10.08
08/13/2018 06:15:00 000	0	-10.8
08/13/2018 06:16:00 001	0	-11.98
08/13/2018 06:17:00 000	0	-11.82
08/13/2018 06:18:00 002	0	-11.58
08/13/2018 06:19:00 001	0	-11.54
08/13/2018 06:20:00 000	0	-11.34
08/13/2018 06:21:00 000	0	-11.26
08/13/2018 06:22:00 000	0	-11.4
08/13/2018 06:23:00 000	0	-11.86
08/13/2018 06:24:00 001	0	-12.6
08/13/2018 06:25:00 000	0	-14.24
08/13/2018 06:27:05 000	0	-17.32
08/13/2018 06:28:10 000	0	-14.04
08/13/2018 06:29:10 000	0	-13.34
08/13/2018 06:30:10 002	0	-12.78
08/13/2018 06:31:10 000	0	-13.56
08/13/2018 06:32:10 000	0	-15.14
08/13/2018 06:33:10 000	0	-12.72
08/13/2018 06:34:10 005	0	-10.96
08/13/2018 06:35:10 000	0	-9.7
08/13/2018 06:36:10 000	0	-9.1
08/13/2018 06:37:10 001	0	-8.7
08/13/2018 06:38:10 001	0	-8.42
08/13/2018 06:39:10 001	0	-8.28
08/13/2018 06:40:10 000	0	-8.44
08/13/2018 06:41:10 000	0	-8.84
08/13/2018 06:42:10 000	0	-10.4
08/13/2018 06:43:10 000	0	-11.34
08/13/2018 06:44:10 001	0	-12.72
08/13/2018 06:45:10 001	0	-17.32
08/13/2018 06:46:10 000	0	-17.3
08/13/2018 06:47:10 000	0	-17.18
08/13/2018 06:48:10 000	0	-17.42
08/13/2018 06:49:10 000	0	-17.68
08/13/2018 06:50:10 000	0	-17.68
08/13/2018 06:51:10 000	0	-18.04
08/13/2018 06:52:10 001	0	-18.88
08/13/2018 06:53:10 001	0	-19.22
08/13/2018 06:54:10 001	0	-19.46
08/13/2018 06:55:10 002	0	-19.22
08/13/2018 06:56:10 000	0	-16
08/13/2018 06:57:10 000	0	-18.2
08/13/2018 06:58:10 000	0	-14.78
08/13/2018 06:59:10 000	0	-13
08/13/2018 07:00:10 000	0	-11.64
08/13/2018 07:01:10 000	0	-11.66
08/13/2018 07:02:10 000	0	-17.9
08/13/2018 07:03:10 000	0	-16.04
08/13/2018 07:04:10 001	0	-21.46
08/13/2018 07:05:10 000	0	-22.94
08/13/2018 07:06:10 001	0	-23.36
08/13/2018 07:07:10 001	0	-23.58
08/13/2018 07:08:10 000	0	-23.54
08/13/2018 07:09:10 001	0	-23.78
08/13/2018 07:10:10 000	0	-23.9
08/13/2018 07:11:10 000	0	-23.96
08/13/2018 07:12:10 000	0	-24.32
08/13/2018 07:13:10 001	0	-24.76
08/13/2018 07:14:10 000	0	-25.2
08/13/2018 07:15:10 005	0	-25.64
08/13/2018 07:16:10 000	0	-25.96
08/13/2018 07:17:10 000	0	-26.18
08/13/2018 07:18:10 000	0	-26.26
08/13/2018 07:19:10 000	0	-26.48
08/13/2018 07:20:10 000	0	-26.6
08/13/2018 07:21:10 000	0	-26.82
08/13/2018 07:22:10 000	0	-27.08
08/13/2018 07:23:10 000	0	-27.26
08/13/2018 07:24:10 000	0	-27.48
08/13/2018 07:25:10 002	0	-27.84
08/13/2018 07:26:10 000	0	-28.02
08/13/2018 07:27:10 000	0	-28.38
08/13/2018 07:28:10 000	0	-28.44
08/13/2018 07:29:10 000	0	-28.82
08/13/2018 07:30:10 000	0	-29.34
08/13/2018 07:31:10 001	0	-29.76
08/13/2018 07:32:10 000	0	-30.16
08/13/2018 07:33:10 001	0	-30.54
08/13/2018 07:34:10 000	0	-30.8
08/13/2018 07:35:10 000	0	-30.98
08/13/2018 07:36:10 000	0	-31.22
08/13/2018 07:37:10 000	0	-31.46
08/13/2018 07:38:10 000	0	-31.7
08/13/2018 07:39:10 001	0	-31.88
08/13/2018 07:40:10 000	0	-32.1
08/13/2018 07:41:10 000	0	-32.44
08/13/2018 07:42:10 001	0	-32.74
08/13/2018 07:43:10 000	0	-32.98
08/13/2018 07:44:10 001	0	-33.22
08/13/2018 07:45:10 000	0	-33.44
08/13/2018 07:46:10 000	0	-33.62
08/13/2018 07:47:10 000	0	-33.76
08/13/2018 07:48:10 000	0	-34
08/13/2018 07:49:10 000	0	-34.26
08/13/2018 07:50:10 000	0	-34.58
08/13/2018 07:51:10 000	0	-34.78
08/13/2018 07:52:10 000	0	-34.94
08/13/2018 07:53:10 001	0	-35.04
08/13/2018 07:54:10 000	0	-35.18
08/13/2018 07:55:10 000	0	-35.32
08/13/2018 07:56:10 000	0	-35.46
08/13/2018 07:57:10 000	0	-35.98
08/13/2018 07:58:10 000	0	-36.28
08/13/2018 07:59:10 001	0	-36.72
08/13/2018 08:00:10 000	0	-37.16
08/13/2018 08:01:10 000	0	-38.54
08/13/2018 08:02:10 000	0	-39.74
08/13/2018 08:03:10 000	0	-40.12
08/13/2018 08:04:10 000	0	-40.48
08/13/2018 08:05:10 001	0	-40.66
08/13/2018 08:06:10 000	0	-40.98
08/13/2018 08:07:10 000	0	-41.36
08/13/2018 08:08:10 001	0	-41.76
08/13/2018 08:09:10 000	0	-42.3
08/13/2018 08:10:10 001	0	-42.9
08/13/2018 08:11:10 000	0	-43.42
08/13/2018 08:12:10 000	0	-43.98
08/13/2018 08:13:10 000	0	-44.36
08/13/2018 08:14:10 000	0	-44.86
08/13/2018 08:15:10 001	0	-45.1
08/13/2018 08:16:10 000	0	-45.64
08/13/2018 08:17:10 000	0	-46.14
08/13/2018 08:18:10 000	0	-47.02
08/13/2018 08:19:10 000	0	-47.5
08/13/2018 08:20:10 000	0	-48.24
08/13/2018 08:21:10 000	0	-49.26
08/13/2018 08:22:10 000	0	-49.74
08/13/2018 08:23:10 000	0	-50.26
08/13/2018 08:24:10 000	0	-50.76
08/13/2018 08:25:10 000	0	-51.14
08/13/2018 08:26:10 000	0	-51.44
08/13/2018 08:27:10 000	0	-51.64
08/13/2018 08:28:10 000	0	-51.18
08/13/2018 08:29:10 000	0	-50.34
08/13/2018 08:30:10 000	0	-49.6
08/13/2018 08:31:10 000	0	-48.9
08/13/2018 08:32:10 000	0	-48.58
08/13/2018 08:33:10 000	0	-48.56
08/13/2018 08:34:10 000	0	-48.68
08/13/2018 08:35:10 000	0	-49.92
08/13/2018 08:36:10 005	0	-50.78
08/13/2018 08:37:10 000	0	-51.02
08/13/2018 08:38:10 000	0	-50.56
08/13/2018 08:39:10 000	0	-50.88
08/13/2018 08:40:10 000	0	-51.52
08/13/2018 08:41:10 003	0	-51.66
08/13/2018 08:42:10 000	0	-53.16
08/13/2018 08:43:10 000	0	-45
08/13/2018 08:44:10 001	0	-54.56
08/13/2018 08:45:10 000	0	-53.7
08/13/2018 08:46:10 000	0	-50.22
08/13/2018 08:47:10 000	0	-44.76
08/13/2018 08:48:10 000	0	-54.48
08/13/2018 08:49:10 000	0	-55.8
08/13/2018 08:50:10 000	0	-56.08
08/13/2018 08:51:10 000	0	-55.96
08/13/2018 08:52:10 000	0	-56.56
08/13/2018 08:53:10 000	0	-35.42
08/13/2018 08:54:10 000	0	-24.8
08/13/2018 08:55:10 000	0	-57.98
08/13/2018 08:56:10 000	0	-57
08/13/2018 08:57:10 000	0	-28.08
08/13/2018 08:58:10 000	0	-36.98
08/13/2018 08:59:10 000	0	-57.4
08/13/2018 09:00:10 000	0	-56.94
08/13/2018 09:01:10 001	0	-56.36
08/13/2018 09:02:10 000	0	-55.26
08/13/2018 09:03:10 000	0	-54.58
08/13/2018 09:04:10 001	0	-54.98
08/13/2018 09:05:10 000	0	-55.92
08/13/2018 09:06:10 000	0	-54.98
08/13/2018 09:07:10 000	0	-52.68
08/13/2018 09:08:10 001	0	-53.58
08/13/2018 09:09:10 000	0	-52.34
08/13/2018 09:10:10 000	0	-48.9
08/13/2018 09:11:10 000	0	-46.98
08/13/2018 09:12:10 001	0	-49.16
08/13/2018 09:13:10 000	0	-52.44
08/13/2018 09:14:10 000	0	-40.8
08/13/2018 09:15:10 000	0	-49.62
08/13/2018 09:16:10 000	0	-57.4
08/13/2018 09:17:10 000	0	-52.4
08/13/2018 09:18:10 000	0	-37.32
08/13/2018 09:19:10 000	0	-58.36
08/13/2018 09:20:10 001	0	-57.26
08/13/2018 09:21:10 001	0	-57.4
08/13/2018 09:22:10 000	0	-56.96
08/13/2018 09:23:10 000	0	-56.88
08/13/2018 09:24:10 000	0	-56.86
08/13/2018 09:25:10 000	0	-56.4
08/13/2018 09:26:10 000	0	-56.62
08/13/2018 09:27:10 000	0	-55.72
08/13/2018 09:28:10 000	0	-55.64
